Nodes:
1: (77,71)
2: (97,97)
3: (40,46)
4: (33,51)
5: (75,53)
6: (62,35)
7: (37,40)
8: (45,89)
9: (57,55)
10: (59,63)
11: (66,7)
12: (76,45)
13: (28,47)
14: (82,66)
15: (28,39)
16: (57,92)
17: (86,66)
18: (94,44)
19: (56,6)
20: (36,82)
21: (56,9)
22: (53,77)
23: (43,63)
24: (73,17)
25: (71,73)
26: (48,83)
27: (68,30)
28: (13,46)
29: (43,75)
30: (79,28)
31: (46,44)
32: (54,24)
33: (41,39)
34: (2,36)
35: (27,42)
36: (9,67)
37: (91,51)
38: (24,59)
39: (94,34)
40: (21,85)
41: (6,93)
42: (65,14)
43: (89,65)
44: (11,78)
45: (56,87)
46: (59,78)
47: (0,55)
48: (62,26)
49: (97,61)
50: (5,43)
Edges:
(1,23): 15
(1,32): 14
(2,38): 20
(2,18): 8
(2,9): 20
(2,45): 8
(2,29): 17
(3,48): 13
(3,23): 13
(3,20): 19
(4,37): 13
(4,33): 10
(4,23): 7
(4,26): 6
(5,48): 14
(5,27): 2
(6,34): 4
(6,32): 13
(7,13): 1
(7,27): 9
(7,5): 11
(7,43): 18
(7,41): 10
(7,9): 11
(8,23): 13
(8,22): 4
(8,15): 2
(9,10): 1
(9,32): 15
(9,28): 20
(9,8): 14
(9,24): 18
(10,11): 6
(10,36): 9
(11,47): 19
(11,40): 17
(11,43): 1
(11,31): 8
(11,44): 12
(11,1): 7
(12,44): 5
(12,8): 9
(13,29): 11
(13,18): 2
(14,27): 9
(14,9): 6
(14,47): 5
(15,30): 9
(15,42): 2
(15,14): 17
(16,46): 15
(16,45): 3
(16,48): 15
(16,39): 9
(16,31): 20
(17,6): 9
(17,39): 1
(17,21): 8
(18,21): 4
(18,31): 18
(19,7): 17
(19,21): 19
(19,4): 20
(19,49): 8
(20,39): 11
(20,37): 17
(20,28): 17
(20,29): 16
(20,5): 11
(20,1): 1
(21,43): 4
(21,39): 7
(21,28): 6
(21,42): 8
(21,26): 20
(22,49): 1
(22,9): 4
(22,21): 6
(23,44): 2
(23,43): 16
(24,13): 17
(24,1): 10
(24,45): 6
(25,35): 3
(25,32): 5
(25,28): 20
(25,20): 12
(26,5): 20
(26,42): 16
(26,27): 13
(26,45): 12
(27,7): 9
(27,29): 9
(27,47): 4
(27,14): 12
(27,32): 9
(28,40): 17
(28,43): 17
(28,30): 4
(28,29): 18
(29,33): 5
(29,21): 12
(30,40): 5
(30,29): 4
(30,45): 8
(30,36): 7
(30,9): 5
(31,47): 15
(31,9): 7
(31,41): 10
(31,2): 11
(31,45): 15
(32,7): 6
(32,33): 4
(32,26): 8
(32,42): 18
(32,36): 17
(32,12): 5
(33,14): 3
(33,19): 9
(33,30): 14
(33,44): 16
(33,31): 19
(34,27): 17
(34,32): 8
(34,47): 1
(34,21): 14
(34,30): 18
(34,18): 6
(35,28): 10
(35,42): 13
(35,41): 6
(35,38): 5
(36,1): 20
(36,50): 3
(36,17): 2
(36,43): 9
(36,39): 1
(37,20): 2
(37,39): 18
(37,14): 1
(37,48): 19
(37,50): 3
(37,23): 2
(38,3): 1
(38,44): 6
(38,40): 2
(38,2): 2
(38,50): 6
(38,35): 17
(39,24): 1
(39,31): 4
(39,41): 3
(39,42): 13
(40,43): 12
(40,8): 8
(41,26): 5
(41,50): 13
(41,5): 8
(41,22): 20
(42,3): 3
(42,2): 4
(43,47): 9
(43,50): 7
(43,48): 18
(43,15): 14
(43,9): 16
(43,2): 8
(44,50): 8
(44,6): 17
(44,20): 12
(44,33): 9
(44,41): 9
(45,30): 18
(45,11): 6
(45,17): 13
(45,34): 12
(46,48): 11
(46,21): 9
(46,9): 4
(47,7): 10
(47,22): 19
(47,9): 12
(47,23): 11
(47,8): 17
(48,16): 16
(48,40): 18
(49,18): 15
(49,45): 2
(50,34): 18
(50,8): 14
Origin:
35
Destinations:
36;37
