Nodes:
1: (90,76)
2: (77,51)
3: (54,83)
4: (21,49)
5: (63,81)
6: (24,91)
7: (32,92)
8: (30,29)
9: (63,68)
10: (99,38)
11: (9,58)
12: (22,14)
13: (8,16)
14: (38,24)
15: (46,58)
16: (12,81)
17: (27,4)
18: (66,2)
19: (26,29)
20: (24,54)
21: (50,36)
22: (100,100)
23: (94,84)
24: (21,0)
25: (53,52)
26: (72,32)
27: (36,63)
28: (17,23)
29: (97,90)
30: (45,74)
31: (51,41)
32: (94,27)
33: (39,78)
34: (75,30)
35: (23,46)
36: (35,60)
37: (42,92)
38: (77,10)
39: (90,63)
40: (32,61)
41: (23,45)
42: (81,57)
43: (97,57)
44: (88,47)
45: (1,66)
46: (13,55)
47: (50,17)
48: (43,33)
49: (98,1)
50: (94,77)
51: (62,15)
52: (48,36)
53: (49,65)
54: (97,5)
55: (44,92)
56: (93,55)
57: (36,67)
58: (75,53)
59: (52,34)
60: (70,86)
61: (31,79)
62: (87,13)
63: (39,9)
64: (87,31)
65: (82,54)
66: (33,78)
67: (24,59)
68: (53,25)
69: (75,15)
70: (76,15)
71: (15,55)
72: (68,24)
73: (15,69)
74: (22,85)
75: (38,13)
76: (43,36)
77: (55,47)
78: (84,2)
79: (68,72)
80: (25,99)
81: (33,65)
82: (53,1)
83: (83,35)
84: (7,88)
85: (79,67)
86: (71,60)
87: (65,7)
88: (76,100)
89: (78,100)
90: (30,33)
91: (16,72)
92: (47,58)
93: (55,82)
94: (26,33)
95: (92,65)
96: (25,43)
97: (60,1)
98: (47,64)
99: (36,82)
100: (1,71)
Edges:
(1,51): -1
(1,29): 5
(1,21): 3
(2,16): -1
(2,4): 9
(2,82): -8
(2,9): -4
(3,2): -1
(3,35): 8
(3,44): 8
(3,22): -6
(3,17): -10
(3,81): 10
(4,54): 5
(4,51): 8
(5,78): -7
(5,93): -5
(5,36): -2
(6,25): 9
(6,19): -1
(7,100): -7
(7,28): -10
(7,36): 8
(8,42): -5
(8,41): 2
(9,71): -3
(9,96): 8
(10,47): 2
(10,74): -1
(10,8): -1
(11,79): 5
(11,9): -2
(11,32): -7
(11,6): -1
(11,53): 6
(12,99): 5
(12,42): 7
(12,66): 7
(12,90): 2
(12,89): -6
(13,45): 4
(13,24): -2
(13,98): -3
(13,82): 0
(13,81): -4
(13,26): 2
(14,29): 6
(14,51): 3
(15,8): -1
(15,66): -6
(15,60): 3
(15,19): 9
(15,22): -2
(16,47): 4
(16,70): 10
(16,29): -9
(16,11): -6
(17,2): 7
(17,8): 0
(17,53): -4
(18,12): -4
(18,52): -8
(18,84): 9
(18,34): -3
(18,5): -4
(19,14): -3
(19,44): -3
(19,85): 4
(19,33): 0
(20,15): 8
(20,6): 5
(20,90): -4
(21,36): 1
(21,74): -10
(21,39): -4
(21,85): -1
(22,100): -4
(22,69): 6
(22,96): 3
(22,60): -1
(22,3): -7
(22,65): -6
(23,77): -5
(23,87): -5
(23,54): 4
(23,34): -2
(23,60): 1
(23,79): 2
(24,97): -7
(24,68): 7
(25,16): 5
(25,35): -8
(25,55): 2
(26,47): -8
(26,45): -2
(26,96): -8
(26,84): -9
(26,69): 7
(26,19): 4
(27,45): -10
(27,96): -2
(27,90): 8
(28,67): 7
(28,33): -8
(29,37): -10
(29,76): -2
(29,38): 1
(29,1): -10
(29,44): 7
(29,33): 5
(30,20): 7
(30,99): 10
(30,10): -10
(30,53): 10
(30,60): -4
(30,9): -2
(31,22): 1
(31,9): 1
(31,94): 10
(32,85): -4
(32,25): -5
(33,39): -7
(33,98): -8
(33,36): 0
(33,3): -9
(33,32): 8
(33,42): -6
(34,10): -4
(34,41): 1
(34,47): 6
(34,12): 7
(34,51): -4
(35,38): 4
(35,88): -10
(35,33): -5
(35,87): 5
(35,23): 4
(35,72): 10
(36,9): 8
(36,73): 3
(37,92): 4
(37,26): -8
(37,67): 5
(37,56): -9
(37,71): -1
(38,54): 9
(38,79): 5
(38,69): 2
(38,33): -3
(38,93): 3
(38,97): -5
(39,66): 3
(39,19): -9
(39,90): -9
(40,35): 10
(40,57): 5
(40,2): 7
(40,82): -1
(40,22): 8
(41,39): 8
(41,63): -8
(41,15): 2
(41,26): 7
(42,75): 9
(42,74): 1
(42,61): -9
(43,94): 5
(43,90): 4
(43,98): 10
(43,28): -3
(43,82): -1
(43,75): 1
(44,41): 2
(44,33): 2
(44,7): 8
(45,31): 0
(45,9): 3
(45,86): -6
(45,30): 0
(45,35): 3
(46,19): -5
(46,70): -1
(47,44): 5
(47,51): 3
(47,26): -5
(47,96): -9
(47,77): 9
(48,77): -9
(48,17): -6
(49,96): 10
(49,63): 1
(49,60): -4
(50,31): -4
(50,4): 3
(50,40): 7
(50,80): -8
(51,99): 3
(51,62): -2
(52,98): 1
(52,34): 9
(52,92): 3
(53,36): -1
(53,68): 2
(53,86): -6
(54,6): -10
(54,16): -7
(54,14): -6
(54,34): -5
(54,77): -9
(54,4): 0
(55,88): -6
(55,53): 0
(55,17): -1
(55,6): 0
(55,3): 10
(56,42): 6
(56,77): 3
(56,43): -8
(56,63): 1
